competition_ref,primary_model,uses_ensemble,ensemble_type,stacking_levels,uses_nn,uses_original_data,key_techniques,top_place_mentioned,confidence,notes,n_sol_topics
playground-series-s4e5,ensemble_mixed,True,blending,,,,"blends of blends; 57 model blend; AutoML; H2O DriverlessAI",1,high,"2nd place Blends of Blends; 3rd is blend of 57 models; 1st present unnamed; ensemble blending clearly dominant",5
playground-series-s4e6,xgboost,False,,,False,,"single XGBoost; outlier detection; student dropout prediction",3,medium,"3rd place explicitly a single xgb model; 6th notes many model ensembles were detrimental; XGB single model excels",2
playground-series-s4e7,catboost,False,,,False,,"CatBoost single model; feature engineering; binary classification",1,high,"1st place title One CatBoost Is All You Need; explicit single CatBoost model wins",1
playground-series-s4e8,automl,True,stacking,,True,,"AutoGluon; 72 OOF stacking; AutoML ensemble; diverse models",1,high,"1st place title 72 OOFs a whole lotta Autogluon; AutoGluon-based OOF ensemble wins explicitly",1
playground-series-s4e9,neural_network,True,stacking,,True,,"stacked neural network; tabular NN; deep learning for tabular",1,high,"1st place title stacked NN explicitly names neural network with stacking approach",1
playground-series-s4e10,catboost,False,,,False,,"CatBoost; feature engineering; hyperparameter tuning; single model",1,high,"1st place title CatBoost All The Way Down explicitly names CatBoost as dominant single approach",1
playground-series-s4e11,unknown,,,,,,"hill climbing GPU; AutoML at 4th; GBDT+NN at 25th; student depression",1,medium,"1st place writeup present but model unknown; 4th uses AutoML; GPU hill climbing discussed prominently",2
playground-series-s4e12,unknown,False,,,,,single model; feature engineering,1,medium,"1st place title Single Model Feature Engineering; explicit single model but type not specified",1
playground-series-s5e2,unknown,False,,,,,single model; feature engineering,1,medium,"Same Single Model Feature Engineering pattern as s4e12; model type not specified in title",1
playground-series-s5e3,ensemble_mixed,True,blending,,True,True,"GBDT; neural network; SVR; original data; ensemble blending",2,high,"2nd place explicitly GBDT plus NN plus SVR plus Original Data; diverse model ensemble confirmed; only 2nd place found",1
playground-series-s5e4,ensemble_mixed,True,stacking,3,,,"RAPIDS cuML; 3-level stacking; LGBM; GPU acceleration",1,high,"1st place RAPIDS cuML Stack 3 Levels explicitly names 3-level stacking with RAPIDS cuML",2
playground-series-s5e5,ensemble_mixed,True,blending,,,,"GPU hill climbing; ensemble optimization; model blending",1,high,"1st place GPU Hill Climbing explicitly names GPU-accelerated hill climbing for ensemble weight optimization",1
playground-series-s5e6,ensemble_mixed,True,stacking,3,,,"L3 stacking; 100+ OOF models; RAPIDS cuML; XGB meta model",1,high,"2nd place L3 Ensemble of 100+ OOFs; 1st uses RAPIDS cuML; deep multi-level stacking dominant approach",3
playground-series-s5e7,unknown,,,,,,"probability calibration; outlier detection; ambiverts; tightly bunched scores",3,low,"Unusual competition with tightly bunched scores; 3rd place writeup present but no model info; called weird competition",1
playground-series-s5e8,ensemble_mixed,True,blending,,,,"ensemble blending; model diversity; OOF predictions",1,high,"1st place JAPE Just Another Proper Ensemble explicitly names ensemble as winning strategy",1
playground-series-s5e10,automl,,,,,,"genetic programming; evolutionary algorithms; feature generation",1,high,"1st place says I think it was genetic programming; unusual evolutionary AutoML approach wins with 211 votes",1
playground-series-s5e11,ensemble_mixed,True,stacking,,True,,"XGBoost; LightGBM; TabM neural network; AutoGluon; multi-seed ensembling",5,medium,"5th place describes (XGB+LGBM+TabM)*5SEEDs+AG; TabM is neural architecture; large stack at 5th implies even larger at top",1
playground-series-s5e12,ensemble_mixed,True,blending,,,,"hill climbing; ridge regression meta; ensemble optimization",1,high,"1st place Hill Climbing plus Ridge Ensemble explicitly names optimization strategy for ensemble blending",1
